round,client_id,pid_score,distance
1,7,0.7225034476127745,0.1445006895225549
1,4,0.6723895410144249,0.134477908202885
1,3,0.6679172199242361,0.13358344398484723
1,1,0.6882089451790181,0.13764178903580362
1,10,0.7592643907895578,0.15185287815791154
1,8,0.687299349764247,0.1374598699528494
1,16,0.6715032251177538,0.13430064502355077
1,17,0.6425894467486788,0.12851788934973576
1,18,0.6907343631146994,0.13814687262293987
1,19,0.6923781184318102,0.13847562368636204
2,3,1.7601155788990117,0.28106266167560545
2,9,1.549921679526071,0.28180394173201295
2,5,1.5841161674535615,0.288021121355193
2,4,1.8296497491222157,0.2918290312651782
2,13,1.5559817218953351,0.28290576761733366
2,10,1.8289952873799966,0.293064880993685
2,11,1.5358351501007512,0.27924275456377295
2,14,1.5978910532749002,0.2905256460499819
2,16,1.803449203387859,0.28778454244609764
2,19,1.7987447885462096,0.2873819385214447
3,9,2.378018060368572,0.3875261586514736
3,2,1.9466666517102595,0.3539393912200472
3,8,2.3756381865397795,0.376056634079416
3,10,2.079382756860085,0.33076750127353416
3,11,2.0545982374683742,0.337572248423117
3,14,2.289613053606149,0.37459628871248307
3,13,2.039722938448356,0.3355655111164651
3,17,2.6072376543687397,0.4109994767759396
3,19,2.0873744581844043,0.33258886393876086
3,20,1.90683006839402,0.34669637607164
4,2,1.7700359067102491,0.2995393234338881
4,4,1.986840935578395,0.3177717687860833
4,5,1.6927994591495947,0.28258615689649097
4,6,1.5184509953434413,0.27608199915335296
4,8,1.7429311154703742,0.28649684577440887
4,11,1.684434046467207,0.26363058359951985
4,14,1.707311954231937,0.26913035008664427
4,16,1.74294666189193,0.27995209393895437
4,18,1.9611084937799463,0.31233568155252556
4,19,1.8201087831052563,0.27284222061088204
5,5,0.9737972292922763,0.14939688416352698
5,9,0.9209717567069243,0.14982044079486995
5,2,0.9509688454180032,0.14211827869614208
5,6,0.8440764524572749,0.1510949926206079
5,13,0.9400236115552596,0.14866976666228082
5,11,1.082072372272132,0.13930464039668414
5,14,1.120652640503821,0.1419472074101401
5,18,0.9261252066480885,0.1558799401712125
5,20,0.7929434329090526,0.14866024937613426
5,19,1.149891644287094,0.13955223715680784
